ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
94;-13.5;-12.0;-1.5;0.0;1.166;1.6079999999999999;1.204;1.318;0.0;0.0;0.0;0.0;1;2;9;10;89.5710611110777;0.0107089249806112;-872.1007686965045;DD;14.383381347160958;-6.717612808889439;-1.6344939473195979;1469;4.4234968868528927e-07;89.29850738725311
95;-12.0;-10.5;0.0;1.5;1.6079999999999999;0.601;1.318;0.944;0.0;0.0;0.0;0.0;2;3;10;11;89.6706692135837;0.00482472415243203;-531.677914828589;DD;14.365537758403994;-5.391143703930961;-1.5936385588373119;1064;9.027475104808805e-07;88.51160975183214
96;-10.5;-9.0;1.5;3.0;0.601;0.393;0.944;0.417;0.0;0.0;0.0;0.0;3;4;11;12;83.1379273566972;0.00223462785325856;-234.8697652890218;DD;14.148753160027956;-3.7885648711883566;-2.3204878317544098;1575;-1.2161672179601774e-06;82.45291843498859
97;-9.0;-7.5;3.0;4.5;0.393;1.337;0.417;1.015;0.0;0.0;0.0;0.0;4;5;12;13;71.2548493776215;0.00714000494092095;-221.55688550565958;DD;14.249208221537243;-2.1188353306860623;-2.142821600865209;1176;3.733727289043312e-07;70.14714126390271
98;-7.5;-6.0;4.5;6.0;1.337;1.405;1.015;1.589;0.0;0.0;0.0;0.0;5;6;13;14;65.4810369320867;0.0047323762457355;-909.9069896738433;DD;14.082957912975257;-0.6974327813715471;-1.3531009979528372;1256;4.2026311114516847e-07;64.17204598687663
99;-6.0;-4.5;6.0;7.5;1.405;0.769;1.589;1.3;0.0;0.0;0.0;0.0;6;7;14;15;64.3894207012206;0.000728289126568767;-612.2117632595322;DD;14.109004029485007;0.728053324207746;-1.4692154590040856;1580;-9.57790607858516e-09;63.42410920357796
100;-4.5;-3.0;7.5;9.0;0.769;0.6809999999999999;1.3;0.653;0.0;0.0;0.0;0.0;7;8;15;16;63.768077814755;0.00846793718068406;-326.50132766959706;DD;14.113329388979105;2.2257468774066873;-2.111561681118294;1410;-5.844687647597816e-07;63.13112474229231
101;-3.0;-1.5;9.0;10.5;0.6809999999999999;1.204;0.653;0.609;0.0;0.0;0.0;0.0;8;9;16;17;63.177242251263;0.0151484722468587;-216.1188523702995;DD;14.1113954675003;3.734948058905195;-2.1772389552758993;1541;2.0782451267163826e-06;63.295562448898494
102;-1.5;0.0;10.5;12.0;1.204;1.318;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;9;10;17;18;61.4583724482755;0.00446514952067019;-612.4260138146195;DD;14.197654425159932;5.281548395795285;-1.5603556215756562;1408;9.582856828451916e-07;60.454342048069414
103;0.0;1.5;12.0;13.5;1.318;0.944;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;10;11;18;19;60.2534218161957;0.00856398794323461;-775.3361699802053;DD;14.198611360268934;6.731068938871881;-1.5666591692178282;1216;6.386076467583377e-07;58.930923775428425
104;1.5;3.0;13.5;15.0;0.944;0.417;1.228;0.775;0.0;0.0;0.0;0.0;11;12;19;20;60.2064388787432;0.00214093744130195;-347.7008074798545;DD;14.219599636641064;8.214401125023974;-1.9841971134695322;1032;9.09772698413137e-07;59.547597638829274
105;-15.0;-13.5;-1.5;0.0;0.657;1.166;1.204;1.318;0.0;0.0;0.0;0.0;0;1;9;10;85.6310198179855;0.0124573877871199;-681.3419898952601;DD;15.967389238555441;-7.359410513305195;-2.2028816950409453;1635;2.4017829768309373e-07;85.46073208483031
106;-13.5;-12.0;0.0;1.5;1.166;1.6079999999999999;1.318;0.944;0.0;0.0;0.0;0.0;1;2;10;11;85.8686636310247;0.00173180925851187;-1226.4383481500586;DD;15.929303725548696;-6.047145575926865;-2.1305118869503072;1610;8.901550018639153e-08;84.54385515534169
107;-12.0;-10.5;1.5;3.0;1.6079999999999999;0.601;0.944;0.417;0.0;0.0;0.0;0.0;2;3;11;12;76.7652739539142;0.00385317379728844;-465.320647808138;DD;15.95542108745679;-4.752577169061625;-2.168572658206859;1467;2.035724630968364e-07;75.66829955654383
108;-10.5;-9.0;3.0;4.5;0.601;0.393;0.417;1.015;0.0;0.0;0.0;0.0;3;4;12;13;64.537395244715;0.00883857436201131;-314.43428625981346;DD;15.763560888520733;-2.9130182671909584;-2.343512058298613;882;-2.3356399776198653e-07;64.50308706875948
109;-9.0;-7.5;4.5;6.0;0.393;1.337;1.015;1.589;0.0;0.0;0.0;0.0;4;5;13;14;64.3609028205027;0.00153725105945535;-603.8455137991344;DD;15.855282939599887;-1.2479609757746208;-2.1700245513216454;1209;2.4463217446466977e-07;63.29430921879796
110;-7.5;-6.0;6.0;7.5;1.337;1.405;1.589;1.3;0.0;0.0;0.0;0.0;5;6;14;15;64.7822515877604;0.00058208718445992;-1274.2317146103812;DD;15.610544571728205;-0.007701178560058316;-1.8035994162398652;1260;3.0828919433535014e-07;63.33068202993934
111;-6.0;-4.5;7.5;9.0;1.405;0.769;1.3;0.653;0.0;0.0;0.0;0.0;6;7;15;16;65.4276511067657;0.0114297029783063;-647.4794720045365;DD;15.742591798783002;1.342352267291187;-2.1155691364789813;1400;8.998459170509209e-07;64.63111519084241
112;-4.5;-3.0;9.0;10.5;0.769;0.6809999999999999;0.653;0.609;0.0;0.0;0.0;0.0;7;8;16;17;67.8593292330183;0.00357787360348292;-295.9277048520154;DD;15.613974583553759;2.9666920823516167;-2.433617279535941;1474;1.1252772984406016e-07;66.50967356577728
113;-3.0;-1.5;10.5;12.0;0.6809999999999999;1.204;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;8;9;17;18;65.4306633860005;0.00560784526368223;-586.7403376865532;DD;15.786216353446017;4.641512619310704;-2.136570266954762;1539;1.1810992285196655e-06;63.43354704199956
114;-1.5;0.0;12.0;13.5;1.204;1.318;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;9;10;18;19;62.3734055154257;0.0108305124317527;-1044.6117130439923;DD;15.702937122861597;6.005024933447405;-1.9245834046281345;1492;3.488506715050083e-07;60.496860881531646
115;0.0;1.5;13.5;15.0;1.318;0.944;1.228;0.775;0.0;0.0;0.0;0.0;10;11;19;20;59.4817042417472;0.0105380205203492;-819.017620510726;DD;15.765522015028804;7.385932335556938;-2.1045404542282258;1530;2.6040573662823134e-07;58.02708912506989
116;-15.0;-13.5;0.0;1.5;0.657;1.166;1.318;0.944;0.0;0.0;0.0;0.0;0;1;10;11;80.4690599121418;0.013776693679571;-930.3904888881905;DD;17.513311616943177;-6.689084118156105;-2.7016325798755045;1442;6.375598722575147e-08;80.46593459295117
117;-13.5;-12.0;1.5;3.0;1.166;1.6079999999999999;0.944;0.417;0.0;0.0;0.0;0.0;1;2;11;12;72.1688587374862;0.00937825039915129;-1031.3333498069096;DD;17.519187054601492;-5.4088893628396955;-2.7087329597529726;1398;2.4015242962065446e-08;71.69000652654634
118;-12.0;-10.5;3.0;4.5;1.6079999999999999;0.601;0.417;1.015;0.0;0.0;0.0;0.0;2;3;12;13;60.2739458003293;0.00515035267208659;-594.6865919521706;DD;17.570228815949566;-3.8762111915935855;-2.200278518202637;1467;1.8337661375362765e-07;59.45662869168003
119;-10.5;-9.0;4.5;6.0;0.601;0.393;1.015;1.589;0.0;0.0;0.0;0.0;3;4;13;14;59.9681845780355;0.00513785950912201;-819.8013714782174;DD;17.369635606583376;-2.0423573698535273;-2.3727159892882552;1528;5.8688451715644264e-08;58.73886777902772
120;-9.0;-7.5;6.0;7.5;0.393;1.337;1.589;1.3;0.0;0.0;0.0;0.0;4;5;14;15;64.3940049192779;0.00515047686306053;-814.8800813112384;DD;17.382869598352837;-0.5591818621796761;-2.624833267955175;1519;1.8315621185092154e-07;62.74814484748214
121;-7.5;-6.0;7.5;9.0;1.337;1.405;1.3;0.653;0.0;0.0;0.0;0.0;5;6;15;16;69.3733786081349;0.0385273149065473;-1305.8169063413607;DD;17.2441323410262;0.6071531534000574;-2.4508669135951093;1484;1.964070569359008e-07;64.92124175923536
122;-6.0;-4.5;9.0;10.5;1.405;0.769;0.653;0.609;0.0;0.0;0.0;0.0;6;7;16;17;70.3058708961294;0.00570890510693166;-562.2348294425451;DD;17.243236993357655;2.083822152218891;-2.4376413170707276;1410;6.604032952712041e-07;68.50435048459943
123;-4.5;-3.0;10.5;12.0;0.769;0.6809999999999999;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;7;8;17;18;69.8860735717729;0.011355656401806;-767.4507759745444;DD;17.288795469499476;3.8725162981368424;-2.3940878961673464;1541;9.158598084273627e-07;67.38162643934535
124;-3.0;-1.5;12.0;13.5;0.6809999999999999;1.204;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;8;9;18;19;66.0284444310019;0.00954001763493207;-966.9739901122472;DD;17.29149905114768;5.364584930113652;-2.501900999771945;1491;3.252136106890849e-07;63.959083939036105
125;-1.5;0.0;13.5;15.0;1.204;1.318;1.228;0.775;0.0;0.0;0.0;0.0;9;10;19;20;61.671195904372;0.00651391251305804;-1069.7625470872263;DD;17.269847777621465;6.66022712966027;-2.4633027053742365;949;3.234178375100396e-07;60.07723437772418
126;-15.0;-13.5;1.5;3.0;0.657;1.166;0.944;0.417;0.0;0.0;0.0;0.0;0;1;11;12;68.8367888904414;0.00315269244640351;-760.7240874007546;DD;19.103194945995973;-6.050937325628261;-3.2832994221195393;1640;-7.454201955289371e-08;68.06912884458362
127;-13.5;-12.0;3.0;4.5;1.166;1.6079999999999999;0.417;1.015;0.0;0.0;0.0;0.0;1;2;12;13;57.8930012938371;0.00758969220493273;-1275.8401834018098;DD;19.133994783094266;-4.532101461721648;-2.736164311189901;1467;7.418807060862705e-08;56.60242458609519
128;-12.0;-10.5;4.5;6.0;1.6079999999999999;0.601;1.015;1.589;0.0;0.0;0.0;0.0;2;3;13;14;55.255302411362;0.0077282521453758;-1502.6525781287473;DD;19.17630353401221;-3.004048328490751;-2.2367585701852226;1399;8.1143073512272e-08;54.83045572660287
129;-10.5;-9.0;6.0;7.5;0.601;0.393;1.589;1.3;0.0;0.0;0.0;0.0;3;4;14;15;59.6293478096307;0.0023681860674001;-1074.4817065414363;DD;18.897222265336325;-1.3533421141632493;-2.826097918542933;1577;5.5172145246269306e-08;58.54081840347522
130;-9.0;-7.5;7.5;9.0;0.393;1.337;1.3;0.653;0.0;0.0;0.0;0.0;4;5;15;16;65.8658935102642;0.00485363547829103;-810.7236118029051;DD;19.016457367650833;0.0549307022691931;-3.2798947724825993;1579;6.380601115072022e-08;64.50908922804749
131;-7.5;-6.0;9.0;10.5;1.337;1.405;0.653;0.609;0.0;0.0;0.0;0.0;5;6;16;17;70.604146099031;0.000818741393863253;-1101.034682171633;DD;18.744777535600853;1.3484994353960238;-2.772893080867543;1547;2.3023866639601269e-07;68.91619176051363
132;-6.0;-4.5;10.5;12.0;1.405;0.769;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;6;7;17;18;72.97500159356;0.0231465856667351;-1410.7331069524594;DD;18.918057879303372;2.989279810231292;-2.404096388955648;1474;2.839442025808816e-07;69.42415491867673
133;-4.5;-3.0;12.0;13.5;0.769;0.6809999999999999;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;7;8;18;19;68.1799042307872;0.0186726519259175;-1229.3721193742044;DD;18.79407816720114;4.595818650676595;-2.75909414418018;1542;3.667035936869031e-07;68.05899820480124
134;-3.0;-1.5;13.5;15.0;0.6809999999999999;1.204;1.228;0.775;0.0;0.0;0.0;0.0;8;9;19;20;65.5976894007434;0.00686260190374517;-962.8968296470739;DD;18.85840970590755;6.019696292675468;-3.0436305123234924;1456;2.3445595128139454e-07;63.76957269006383
135;-15.0;-13.5;3.0;4.5;0.657;1.166;0.417;1.015;0.0;0.0;0.0;0.0;0;1;12;13;54.0733732585811;0.0161271587118965;-917.5924225916823;DD;20.71800267448875;-5.173940560936807;-3.3069024070733692;1640;-9.527564524338922e-09;54.429917134140275
136;-13.5;-12.0;4.5;6.0;1.166;1.6079999999999999;1.015;1.589;0.0;0.0;0.0;0.0;1;2;13;14;53.6816005092367;0.00471931865789426;-3145.2126923487;DD;20.74006950115691;-3.6600411690183434;-2.7695383076650235;1575;3.686660451086823e-09;52.77257716571362
137;-12.0;-10.5;6.0;7.5;1.6079999999999999;0.601;1.589;1.3;0.0;0.0;0.0;0.0;2;3;14;15;56.7975831862643;0.0108895059696736;-1926.455691915746;DD;20.703890192765158;-2.3153949014648716;-2.6862616187175297;1528;3.711697916642726e-08;55.03394019786292
138;-10.5;-9.0;7.5;9.0;0.601;0.393;1.3;0.653;0.0;0.0;0.0;0.0;3;4;15;16;61.9922858374564;0.000642800190954647;-1041.4798198154933;DD;20.53081003463432;-0.7390502735804864;-3.479147407317594;1576;4.627233484734243e-08;60.458148744574004
139;-9.0;-7.5;9.0;10.5;0.393;1.337;0.653;0.609;0.0;0.0;0.0;0.0;4;5;16;17;68.9778708158149;0.0107774477792931;-664.0198242625348;DD;20.51710256222549;0.795450485107228;-3.60216879440253;1560;1.7772034050338373e-07;68.35580452833116
140;-7.5;-6.0;10.5;12.0;1.337;1.405;0.609;1.3539999999999999;0.0;0.0;0.0;0.0;5;6;17;18;71.2797769754634;0.0071530370925997;-2699.3029739769763;DD;20.41959842154657;2.2535603388846277;-2.7384181323670176;1547;1.2577124099262732e-07;69.75970103405899
141;-6.0;-4.5;12.0;13.5;1.405;0.769;1.3539999999999999;1.228;0.0;0.0;0.0;0.0;6;7;18;19;72.0407824736249;0.00679597748934674;-2211.17959530981;DD;20.423340577005035;3.7129253089920553;-2.767999856807475;1542;2.0930575474156481e-07;70.00047626058632
142;-4.5;-3.0;13.5;15.0;0.769;0.6809999999999999;1.228;0.775;0.0;0.0;0.0;0.0;7;8;19;20;68.6502128583387;0.00730366631717145;-1195.0961312559593;DD;20.36098882196101;5.251252983868192;-3.300197571625457;1436;3.928834674430706e-07;67.83840753860395
