ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;b;b_on_L;DOI_coef;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
44;-1.5;0.0;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;13;14;54.6190520879903;0.0100051402228861;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;2.25;-1.1340760157273884;831;5.0985647156499776e-05;54.64160902299041
45;0.0;1.5;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;11;14;15;53.2243957421606;0.0100052749133337;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;3.75;-1.1340760157273884;769;1.1336469075974055e-05;53.189306149749534
46;1.5;3.0;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;12;15;16;57.9077966503818;0.010004848296358;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;5.25;-1.1340760157273884;809;2.5737694243010316e-05;57.79470594025494
47;3.0;4.5;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;13;16;17;66.9441906282206;0.0100041938559131;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;6.75;-1.1340760157273884;990;5.753275671843027e-05;67.05371618773013
48;4.5;6.0;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;14;17;18;74.5814785137736;0.0100037643980878;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;8.25;-1.1340760157273884;812;6.563014089085888e-05;74.65845572216739
49;6.0;7.5;12.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;15;18;19;80.1953500522037;0.0100035008816261;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;9.75;-1.1340760157273884;791;8.06238527463889e-05;80.20424180417494
50;7.5;9.0;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;16;19;20;82.3149176695203;0.0100034107359075;-44.999999999999936;DD;7.5;4.5;0.6;0.15121013543031844;11.25;-1.1340760157273884;86;9.477101589520391e-05;82.23155588493317
51;-15.0;-13.5;-7.5;-6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;5;6;80.7614324936623;0.010006952668682;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-10.5;-1.4336061356244814;1421;4.375119216886816e-05;80.43191209111741
52;-13.5;-12.0;-6.0;-4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;6;7;86.5774725489358;0.0100064856093808;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-9.0;-1.4336061356244814;1467;3.388338573846026e-05;86.2568610166961
53;-12.0;-10.5;-4.5;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;7;8;93.1409684184027;0.0100060285807567;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-7.5;-1.4336061356244814;857;2.8964184814392362e-05;92.84344398861734
54;-10.5;-9.0;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;8;9;99.3214726810241;0.0100056534401261;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-6.0;-1.4336061356244814;1065;5.6916676438977675e-05;98.87776193864053
55;-9.0;-7.5;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;9;10;101.954463830505;0.0100055074396549;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-4.5;-1.4336061356244814;1089;4.138015458356271e-05;101.50874747909148
56;-7.5;-6.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;10;11;96.8075865453369;0.0100058002472812;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-3.0;-1.4336061356244814;846;3.261659362498908e-05;96.4356854367526
57;-6.0;-4.5;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;11;12;77.7721089344368;0.0100072199067743;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;-1.5;-1.4336061356244814;859;4.242171913432908e-05;77.34540944521468
58;-4.5;-3.0;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;12;13;59.5240867560435;0.0100094332651976;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;0.0;-1.4336061356244814;847;1.4789161437307685e-05;59.499527239946204
59;-3.0;-1.5;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;13;14;52.4706640818127;0.0100107013319081;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;1.5;-1.4336061356244814;878;2.8713031800596927e-05;52.688152059750365
60;-1.5;0.0;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;14;15;50.3687446010961;0.0100111479017127;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;3.0;-1.4336061356244814;848;3.7894092995972265e-07;50.599635132038046
61;0.0;1.5;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;11;15;16;50.1904979910476;0.0100111874920739;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;4.5;-1.4336061356244814;853;1.0915286998220151e-05;50.537507638346554
62;1.5;3.0;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;12;16;17;53.4756898442545;0.0100105002118418;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;6.0;-1.4336061356244814;849;7.545648840032358e-06;53.75150427583155
63;3.0;4.5;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;13;17;18;62.0825077580412;0.0100090445226985;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;7.5;-1.4336061356244814;1031;3.346691821821535e-05;62.16102238994035
64;4.5;6.0;12.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;14;18;19;70.0195212760835;0.0100080192930206;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;9.0;-1.4336061356244814;1102;3.781138587803182e-05;70.17199756586686
65;6.0;7.5;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;15;19;20;76.5567695396058;0.010007334522263;-90.00000000000004;DD;9.0;6.0;0.6666666666666666;0.15928957062494237;10.5;-1.4336061356244814;1099;3.968521745280928e-05;76.1857708708546
66;-15.0;-13.5;-6.0;-4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;6;7;83.860052414827;0.0100117175550236;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-9.75;-1.72794233289646;6553;7.557689122630408e-06;83.22422490955368
67;-13.5;-12.0;-4.5;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;7;8;89.3008260723156;0.0100110036526923;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-8.25;-1.72794233289646;735;7.66438022052891e-06;88.90757498585724
68;-12.0;-10.5;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;8;9;94.1752308502335;0.0100104341201257;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-6.75;-1.72794233289646;1057;1.6113936637206596e-05;93.7609659105619
69;-10.5;-9.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;9;10;97.665554176;0.0100100612333523;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-5.25;-1.72794233289646;1093;7.640586307169659e-06;97.13953349072935
70;-9.0;-7.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;10;11;95.4055798514868;0.0100102995628424;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-3.75;-1.72794233289646;888;9.086668857148328e-06;94.78816340581736
71;-7.5;-6.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;11;12;77.7222395805044;0.0100126428952618;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-2.25;-1.72794233289646;901;1.0575719372910327e-05;77.19253669926405
72;-6.0;-4.5;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;12;13;60.5721173792526;0.0100162225077491;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;-0.75;-1.72794233289646;889;5.659628398715687e-06;60.37038612627054
73;-4.5;-3.0;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;13;14;54.3620090915906;0.0100180756813519;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;0.75;-1.72794233289646;932;5.647739863372433e-06;54.292493811553854
74;-3.0;-1.5;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;14;15;52.7713590108414;0.0100186205167589;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;2.25;-1.72794233289646;890;9.03706039572627e-06;52.82652915425279
75;-1.5;0.0;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;15;16;53.3346709428523;0.0100184238525209;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;3.75;-1.72794233289646;895;6.973991064199961e-06;53.28888545243597
76;0.0;1.5;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;11;16;17;51.7491714747543;0.0100189883178977;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;5.25;-1.72794233289646;5478;7.9870798948004e-06;51.85712283268899
77;1.5;3.0;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;12;17;18;51.6418823123525;0.0100190277667555;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;6.75;-1.72794233289646;1023;9.169863461577859e-06;51.74299306786288
78;3.0;4.5;12.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;13;18;19;58.869427773219;0.010016691708315;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;8.25;-1.72794233289646;923;8.49362410163491e-06;58.726473390120624
79;4.5;6.0;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;14;19;20;66.5652803526636;0.010014761939779;-157.4999999999997;DD;10.5;7.5;0.7142857142857143;0.16456593646632953;9.75;-1.72794233289646;762;8.136633576100036e-06;66.63863710836574
80;-15.0;-13.5;-4.5;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;7;8;85.5633124350912;0.0100183747939228;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-9.0;-2.019817332896462;1050;3.929796375131756e-06;85.23612128983778
81;-13.5;-12.0;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;8;9;88.8260868770303;0.0100176998564284;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-7.5;-2.019817332896462;1426;2.8543965264667385e-06;88.69637341520404
82;-12.0;-10.5;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;9;10;90.5688844492053;0.0100173592660835;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-6.0;-2.019817332896462;1061;1.7140269867043268e-06;90.51997991717366
83;-10.5;-9.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;10;11;88.7590245692556;0.0100177132294723;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-4.5;-2.019817332896462;921;1.953260958618946e-06;88.39067508422201
84;-9.0;-7.5;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;11;12;74.2984430691299;0.0100211606739872;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-3.0;-2.019817332896462;1066;2.6120204466597933e-06;73.93853562447175
85;-7.5;-6.0;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;12;13;60.3032651428912;0.0100260715511846;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;-1.5;-2.019817332896462;6544;2.144941740260227e-06;60.10070585686975
86;-6.0;-4.5;4.5;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;13;14;56.4426112106983;0.010027854800559;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;0.0;-2.019817332896462;1012;3.2577053178561655e-06;56.23284355987987
87;-4.5;-3.0;6.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;14;15;56.7186554862067;0.010027719236568;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;1.5;-2.019817332896462;6547;4.377267583340253e-06;56.49676836240232
88;-3.0;-1.5;7.5;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;15;16;58.4624634877557;0.0100268924478373;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;3.0;-2.019817332896462;1032;5.49677218224327e-06;58.13436850822497
89;-1.5;0.0;9.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;16;17;57.8110106835983;0.0100271954839363;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;4.5;-2.019817332896462;913;6.447474215747949e-06;57.37243612400629
90;0.0;1.5;10.5;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;11;17;18;52.8417099802385;0.0100297529274793;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;6.0;-2.019817332896462;1018;4.060484808857249e-06;52.684299349006615
91;1.5;3.0;12.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;12;18;19;50.1020471355564;0.010031379830634;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;7.5;-2.019817332896462;1030;1.8660564263229634e-06;50.093956105187715
92;3.0;4.5;13.5;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;13;19;20;56.1744339363658;0.0100279877770024;-252.00000000000065;DD;12.0;9.0;0.75;0.16831811107470518;9.0;-2.019817332896462;987;2.601601340142392e-06;55.93325615118364
93;-15.0;-13.5;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;8;9;84.2510835920668;0.0100279912873397;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-8.25;-2.3104391911935265;617;5.813188404354118e-07;84.35356528644327
94;-13.5;-12.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;9;10;84.3862733656861;0.0100279464452018;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-6.75;-2.3104391911935265;1059;8.620402833549306e-07;84.72120169777338
95;-12.0;-10.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;10;11;80.9201790550989;0.0100291434644954;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-5.25;-2.3104391911935265;2019;9.828057113576116e-07;81.0234635547981
96;-10.5;-9.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;11;12;67.7911994481741;0.0100347874791769;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-3.75;-2.3104391911935265;2963;1.151090424380687e-06;67.75112363382726
97;-9.0;-7.5;3.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;12;13;57.5165231065528;0.0100410016884445;-377.99999999999943;DD;13.5;10.5;0.7777777777777778;0.17114364379211308;-2.25;-2.3104391911935265;1071;9.200592760940596e-07;57.417329385165644
